,Device,Qubits,Model,Model_spec,sim_iter_num,Dataset,MAE,MSE,RMSE,R-squared,Adj R-squared
103,FakeGuadalupeV2,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Test,0.5607948731631041,0.40182000582863003,0.6338927400030939,-3.0112356059963306,-5.928497864902753
104,FakeGuadalupeV2,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Train,0.48573574705049394,0.3308358496701274,0.5751833183169757,-1.2403996142151126,-1.4373578220581993
105,FakeGuadalupeV2,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Test,0.46084370128810404,0.2809013574129483,0.530001280576706,-1.8041449163386503,-3.843523037312214
106,FakeGuadalupeV2,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Train,0.46255321783944964,0.30354783861626666,0.5509517570679547,-1.055606915664682,-1.236319611547291
107,FakeGuadalupeV2,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Test,0.44968780390918256,0.26528102735464815,0.5150543926175644,-1.6482123515126208,-3.5741849707945272
108,FakeGuadalupeV2,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Train,0.6045622537843883,0.4856763566264434,0.6969048404383796,-2.288969811174412,-2.57811001435458
109,FakeGuadalupeV2,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Test,0.5718557726591825,0.42311872066020334,0.6504757648523143,-3.2238535992647037,-6.29574712600267
110,AerSim with backend noise,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.5507202522270381,0.41545397986739574,0.6445571967385019,-1.8134282821741339,-2.0607626366509804
111,AerSim with backend noise,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Test,0.5150686632841825,0.35206893536524037,0.5933539713908051,-2.514587200281331,-5.070650618667754
112,AerSim with backend noise,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Train,0.5910483173839748,0.46130727010726136,0.6791960468872454,-2.1239438864120634,-2.39857631598675
113,AerSim with backend noise,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Test,0.554740185663104,0.40212255372862166,0.6341313379171712,-3.014255841154765,-5.933714634721866
114,AerSim with backend noise,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Train,0.6572221527807415,0.5615330110610174,0.7493550634118764,-2.8026663150458124,-3.136966650434455
115,AerSim with backend noise,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Test,0.6278995614498853,0.4945059566976841,0.7032111750375445,-3.936488656886328,-7.526662225530931
116,AerSim with backend noise,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Train,0.5144965772144496,0.3644338996140303,0.6036836088664577,-1.467923500177755,-1.6848838078856896
117,AerSim with backend noise,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Test,0.49944366328418255,0.31860558571315667,0.5644515796001962,-2.180533699526593,-4.493649117364115
118,AerSim with backend noise,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Train,0.6020759855024517,0.48330355873413083,0.6952003730825601,-2.272901372739315,-2.5606289659471666
119,AerSim with backend noise,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Test,0.5667924921959638,0.41797270343886234,0.6465080845889418,-3.172482619204251,-6.207015433170979
120,noiseless,8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.1484424633765593,0.03510539984277457,0.18736435051197592,0.7622684351074995,0.7413689568751918
